cid,w_start,w_end,active_days,n_rows,days_with_readings
27964,2023-08-04 21:57:51.124,2024-04-30 08:16:07.634,271,5154,228
10142,2020-01-01 02:12:58.095,2024-04-30 07:29:43.822,1582,1752,1541
6902,2020-09-18 08:59:52.397,2024-04-29 23:29:55.320,1320,1613,1206
13490,2020-01-01 16:39:30.382,2023-08-06 07:22:03.415,1314,2180,1296
12861,2023-06-16 11:11:59.860,2024-04-29 21:34:35.339,319,8405,318
11939,2020-01-01 14:38:11.178,2024-04-30 12:56:27.297,1582,2637,1513
10078,2020-01-01 04:54:42.870,2024-04-30 11:19:50.558,1582,1945,1304
12496,2020-01-01 04:12:07.512,2024-04-29 11:32:11.275,1581,2276,1560
10112,2020-03-04 16:46:09.638,2024-04-30 10:23:22.701,1519,1904,1244
11922,2020-01-01 04:20:01.208,2024-04-30 05:41:00.468,1582,2266,1580
16176,2020-01-01 22:07:00.907,2024-04-29 13:27:39.178,1581,2258,1551
10698,2023-06-15 05:03:47.803,2024-04-29 16:58:42.616,320,7734,320
14114,2023-11-01 23:00:54.560,2024-04-30 10:30:33.310,182,4279,182
2503,2020-01-01 01:19:39.160,2024-04-30 10:55:45.325,1582,2423,1514
6092,2020-05-05 14:03:14.714,2024-04-29 22:39:10.844,1456,1991,1240
6221,2021-01-16 13:18:04.932,2024-04-30 08:27:42.118,1201,1529,1172
11774,2020-01-01 09:59:47.769,2024-04-30 08:31:16.460,1582,2315,1484
10163,2020-01-01 14:29:21.006,2024-04-29 13:41:26.033,1581,2139,1579
11593,2020-01-01 14:45:31.989,2024-04-21 13:28:12.783,1573,1135,954
12462,2020-01-01 03:43:11.464,2024-04-29 21:22:41.407,1581,2627,1545
11829,2020-01-20 02:46:43.570,2024-04-29 15:24:52.966,1562,1602,1423
10081,2020-01-01 03:51:28.790,2024-04-29 13:33:42.436,1581,2125,1567
13633,2020-01-01 06:17:49.392,2024-04-29 12:06:19.881,1581,2493,1525
11802,2020-01-01 15:24:17.693,2024-04-29 14:10:05.598,1581,1842,1387
6904,2020-01-01 00:56:03.143,2024-04-29 14:09:38.706,1581,2284,1539
11862,2020-01-01 06:18:11.944,2024-04-30 09:15:28.444,1582,2276,1575
13243,2023-06-16 09:39:47.292,2024-04-30 04:43:34.501,320,7805,320
9879,2020-10-22 09:19:12.959,2024-04-30 12:07:22.300,1287,2387,1164
18761,2020-01-01 01:04:37.973,2024-04-30 12:52:30.243,1582,2766,1533
1856,2020-02-05 17:07:08.566,2024-04-29 22:29:53.032,1546,2431,1525
11993,2020-02-05 17:14:28.768,2024-04-30 08:47:44.581,1547,3123,1517
1055,2023-06-14 23:36:34.674,2024-04-30 01:13:34.638,322,7530,318
10168,2020-01-01 10:59:31.239,2024-04-30 10:52:26.618,1582,2860,1564
2852,2020-01-01 09:25:23.179,2024-04-29 15:37:51.102,1581,2216,1483
12344,2020-01-01 10:48:08.150,2024-04-29 14:52:16.163,1581,2417,1543
7612,2023-10-28 16:19:00.554,2024-04-30 05:57:59.207,186,4532,186
10416,2020-01-01 13:11:38.105,2024-04-30 05:12:23.455,1582,1995,1442
17827,2020-05-06 07:59:49.926,2024-04-29 23:09:43.638,1455,1939,1254
6906,2020-01-01 23:26:46.408,2024-04-30 11:32:04.135,1582,2490,1551
6240,2020-09-18 08:52:25.237,2024-04-30 12:16:59.675,1321,2175,1315
12674,2020-01-01 13:38:16.144,2024-04-30 08:44:59.019,1582,2213,1546
10153,2020-01-01 04:42:46.082,2024-04-29 22:46:00.432,1581,2089,1574
1399,2023-01-09 09:56:23.025,2024-04-30 11:40:31.835,478,11443,478
904,2020-02-05 17:13:56.433,2024-04-30 11:06:40.629,1547,2376,1513
1300,2023-06-14 12:47:35.286,2024-04-30 04:41:16.395,322,8022,322
9963,2020-02-05 17:14:16.785,2024-04-29 21:43:28.320,1546,2370,1506
892,2020-09-17 14:09:54.935,2024-04-30 11:21:51.508,1322,2044,1320
16857,2020-01-01 15:20:58.168,2024-04-24 13:10:26.718,1576,2527,1380
11566,2023-06-13 17:06:51.478,2024-04-29 13:46:54.453,322,7880,322
10151,2020-09-18 08:53:47.935,2024-04-29 13:24:53.475,1320,2031,1309
18139,2020-02-05 17:12:00.905,2024-04-29 16:04:38.966,1546,2327,1376
13491,2020-01-01 01:15:23.367,2024-04-29 12:45:57.493,1581,2086,1279
10835,2020-01-08 20:06:33.016,2024-04-29 17:17:55.178,1574,2130,1197
6228,2020-01-01 21:11:46.221,2024-04-29 19:40:12.544,1581,1810,1422
18141,2021-05-05 17:05:13.164,2024-04-30 11:07:22.563,1092,1780,1059
10092,2020-01-01 10:37:35.787,2024-04-30 12:23:08.717,1582,2298,1454
470,2023-06-16 16:10:13.261,2024-04-30 07:22:44.303,320,7699,320
16516,2020-01-01 21:07:41.746,2024-04-29 20:13:53.246,1581,2044,1557
11706,2023-06-16 01:35:13.179,2024-04-30 11:50:22.159,320,8090,320
10157,2020-01-01 10:59:29.022,2024-04-30 04:27:42.566,1582,2700,1579
2747,2020-02-21 20:09:23.529,2024-04-30 07:43:56.934,1531,3261,1304
10132,2020-01-01 13:44:46.349,2024-04-30 12:46:16.409,1582,3041,1565
